ProGuard/R8 importance,Code Shrinking,Ressource Shrinking,Obfuscation,Code optimization,Apk size,Loading time,Intellectual property
Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Moderately important
Little importance,Very important,Very important,Little importance,Very important,Very important,Very important,Moderately important
Very important,Very important,Little importance,Little importance,Rather important,Very important,Rather important,Moderately important
Rather important,Very important,Very important,Little importance,Rather important,Very important,Very important,No importance
Very important,Very important,Rather important,Moderately important,Very important,Very important,Very important,Little importance
Very important,Very important,Very important,Very important,No importance,Little importance,Little importance,Rather important
Rather important,Very important,Very important,Little importance,Very important,Very important,Moderately important,Little importance
No importance,No importance,Little importance,No importance,Little importance,Little importance,No importance,No importance
No importance,Very important,Very important,No importance,Very important,Moderately important,Moderately important,No importance
Little importance,Little importance,Little importance,No importance,Little importance,Little importance,Little importance,No importance
Rather important,Rather important,Little importance,Moderately important,Rather important,Very important,Very important,Little importance
Little importance,Little importance,Rather important,No importance,Rather important,No importance,Very important,Little importance
Little importance,Rather important,Very important,No importance,Rather important,Rather important,Very important,No importance
Very important,Very important,Very important,Rather important,Very important,Very important,Rather important,Moderately important
,,,,,,,
Rather important,Rather important,Rather important,Rather important,Little importance,Rather important,Moderately important,Rather important
Rather important,Moderately important,Moderately important,Little importance,Moderately important,Very important,Rather important,Little importance
Very important,Very important,Rather important,No importance,Moderately important,Very important,Rather important,No importance
,,,,,,,
Moderately important,Rather important,Rather important,No importance,Little importance,Rather important,Moderately important,No importance
,,,,,,,
Moderately important,Rather important,Rather important,No importance,Rather important,Rather important,Rather important,No importance
Very important,Very important,Moderately important,Very important,Rather important,Very important,Little importance,Little importance
Little importance,Rather important,Very important,No importance,Moderately important,Very important,Very important,Do not know
Very important,Very important,Very important,Moderately important,Very important,Very important,Moderately important,Moderately important
Very important,Very important,Little importance,Moderately important,Very important,Very important,Very important,Little importance
Rather important,Very important,Moderately important,Little importance,Very important,Rather important,Moderately important,Little importance
,,,,,,,
Moderately important,Rather important,Rather important,Little importance,Rather important,Rather important,Moderately important,No importance
Very important,Very important,Very important,Rather important,Moderately important,Very important,Rather important,Moderately important
Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Little importance
Rather important,Very important,Very important,Very important,Rather important,Very important,Very important,Very important
Rather important,Rather important,Rather important,Very important,Very important,Very important,Very important,Very important
Rather important,Moderately important,Moderately important,Little importance,Little importance,Moderately important,No importance,Little importance
,,,,,,,
,,,,,,,
,,,,,,,
Very important,Very important,Very important,Little importance,Moderately important,Very important,Very important,Little importance
Moderately important,No importance,Little importance,No importance,Little importance,No importance,No importance,No importance
