Before release,Every now and then,Directly after writing a class ,When I discover a bug,To correct warnings,Another moment
Regularly,Regularly,Never,Often,Often,Regularly
Never,Sometimes,Never,Often,Often,Do not know
Often,Often,Never,Often,Sometimes,Never
Sometimes,Never,Sometimes,Sometimes,Sometimes,Never
Often,Regularly,Never,Sometimes,Sometimes,Never
Sometimes,Often,Always,Sometimes,Sometimes,Sometimes
Never,Sometimes,Never,Regularly,Sometimes,Never
Never,Never,Regularly,Always,Always,Always
Do not know,Never,Do not know,Always,Always,Do not know
Often,Never,Sometimes,Sometimes,Sometimes,Do not know
Sometimes,Regularly,Never,Often,Often,Do not know
Do not know,Do not know,Do not know,Do not know,Sometimes,Do not know
Never,Often,Regularly,Always,Always,Never
Sometimes,Often,Sometimes,Always,Always,Do not know
,,,,,
Often,Do not know,Often,Do not know,Often,Do not know
Never,Never,Never,Never,Never,Never
Regularly,Never,Sometimes,Often,Often,Never
,,,,,
Never,Sometimes,Sometimes,Regularly,Sometimes,Never
,,,,,
Never,Regularly,Often,Sometimes,Often,Do not know
Always,Never,Regularly,Sometimes,Sometimes,Never
Never,Often,Never,Often,Never,Never
Sometimes,Regularly,Regularly,Regularly,Regularly,Regularly
Sometimes,Do not know,Always,Always,Sometimes,Do not know
Never,Sometimes,Always,Always,Often,Do not know
,,,,,
Sometimes,Never,Sometimes,Never,Sometimes,Never
Never,Often,Often,Sometimes,Often,Sometimes
Never,Regularly,Never,Often,Often,Regularly
Often,Never,Never,Always,Often,Do not know
Do not know,Do not know,Do not know,Do not know,Do not know,Do not know
Regularly,Never,Regularly,Never,Sometimes,Never
,,,,,
,,,,,
,,,,,
Always,Never,Never,Always,Always,Sometimes
Never,Never,Never,Always,Often,Never
